Orchard Code,Variety,Sum of 2022 USDA Mt Lbs,Sum of 2023 USDA Mt Lbs,Sum of 2024 USDA Mt Lbs,Sum of 2022 Incoming,Sum of 2022 USDA Mt Lbs,Sum of 2023 Incoming,Sum of 2023 USDA Mt Lbs,Sum of 2024 Incoming,Sum of 2024 USDA Mt Lbs
 505 NORTH,Aldrich,0,4059,,0,0,19340,4059,,
 505 NORTH,Monterey,0,6921,,0,0,33280,6921,,
 505 NORTH,Nonpareil/Bennett-Hickmann,0,17504,,0,0,139780,17504,,
 505 SOUTH,Aldrich,0,25629,,0,0,87132,25629,,
 505 SOUTH,Bennett-Hickmann,0,16849,,0,0,73452,16849,,
 505 SOUTH,Monterey,0,45847,,0,0,166600,45847,,
 505 SOUTH,Nonpareil,0,83773,,0,0,341860,83773,,
 Balboa East,Independence,0,18489,,0,0,101640,18489,,
 Balboa West,Nonpareil/Bennett Hickman,0,7178,,0,0,59800,7178,,
 Balboa West,Sonora,0,2590,,0,0,20360,2590,,
 BI-1,Aldrich,0,11209,,0,0,46620,11209,,
 BI-1,Butte,0,9923,,0,0,47240,9923,,
 BI-1,Fritz,0,47444,,0,0,255700,47444,,
 BI-1,Monterey,0,48007,,0,0,243960,48007,,
 BI-1,Nonpareil,0,111394,,0,0,600612,111394,,
 BRS 250 31 acre block & 71 acre block,Carmel,0,32118,,0,0,131892,32118,,
 BRS 250 31 acre block & 71 acre block,Monterey,0,36191,,0,0,142840,36191,,
 BRS 250 31 acre block & 71 acre block,Nonpareil,0,96993,,0,0,459700,96993,,
 BRS 250 31 acre block & 71 acre block,Sonora,0,25844,,0,0,114080,25844,,
 BRU-2A,Aldrich,0,17434,,0,0,93100,17434,,
 BRU-2A,Fritz,0,11946,,0,0,91600,11946,,
 BRU-2A,Nonpareil,0,70694,,0,0,375404,70694,,
 BYRD,Carmel,0,16349,,0,0,76140,16349,,
 BYRD,Monterey,0,33033,,0,0,142320,33033,,
 BYRD,Nonpareil,0,68687,,0,0,323320,68687,,
 BYRD,Sonora,0,15251,,0,0,62000,15251,,
 C & H 2 Block 2 & 3,Aldrich,0,4262,,0,0,17700,4262,,
 C & H 2 Block 2 & 3,Fritz,0,3555,,0,0,17360,3555,,
 C & H 2 Block 2 & 3,Nonpareil,0,13355,,0,0,60940,13355,,
 C & H 3,Carmel,0,27206,,0,0,122360,27206,,
 C & H 3,Monterey,0,57406,,0,0,259460,57406,,
 C & H 3,Nonpareil,0,129431,,0,0,657940,129431,,
 C & H 3,Sonora,0,26019,,0,0,114200,26019,,
 DAF 2,Aldrich,0,11321,,0,0,45432,11321,,
 DAF 2,Nonpareil,0,23195,,0,0,109700,23195,,
 DAF 2,Sonora,0,7211,,0,0,35220,7211,,
" DAF Block 1, 2 & 3",Aldrich,0,6192,,0,0,26660,6192,,
" DAF Block 1, 2 & 3",Carmel,0,895,,0,0,5320,895,,
