Orchard Code,Average of 2022 Turn Out %,Average of 2023 Turnout,Average of 2024 Turnout %
505 NORTH,0.0,9.05,22.87
505 SOUTH,5.829999999999999,8.700000000000001,24.49
BALBOA,0.0,6.18,20.23
BALBOA EAST,0.0,18.19,
BI-1,7.706666666666667,6.79,23.91
BRS-250,7.296666666666667,7.786666666666666,24.38
BRU-1A,0.0,0.0,18.81
BRU-2A,11.995,8.435,
BYRD,7.3500000000000005,7.543333333333333,22.18
C & H 2,7.56,7.386666666666667,20.42
C & H 3,7.103333333333333,7.233333333333333,22.7
DAF,7.373333333333334,6.723333333333334,23.35
DIBBLE,13.77,13.6,
ENH,12.075,12.545,
ESP,13.615,13.31,
GJ,8.51,7.72,24.94
GL-RANCH,5.042,12.070000000000002,22.68
GOLF,7.1066666666666665,6.88,23.53
GOLF-P,0.0,5.99,18.13
GOOD,0.0,9.44,27.65
JBW,13.035,12.21,
JK,15.18,4.246666666666667,27.57
KF,5.866666666666667,5.456666666666667,22.19
MAZZ-HOME,4.815,11.73,21.87
MCA,11.37,11.315,
RCH,5.72,4.426666666666667,20.87
REYES,5.803333333333334,7.890000000000001,23.33
RJR,14.52,13.355,
SANTOW,26.69,0.0,
SANTOW & RJR,0.0,30.72,
SP50,5.016666666666667,6.833333333333333,21.85
TOP,8.64,6.976666666666667,24.18
WFP,7.12,6.579999999999999,21.92
ZUM,24.2,0.0,
