Year,Quarter,Month,Day,Field,Parameter,Average of Ideal,Sum of Current
2024,Qtr 1,March,20,505 NORTH,Active Carbon,1000,263.24
2024,Qtr 1,March,20,505 NORTH,Ammonium,40,0.45
2024,Qtr 1,March,20,505 NORTH,Bicarbonates,60,272.24
2024,Qtr 1,March,20,505 NORTH,EC,0.7,0.23
2024,Qtr 1,March,20,505 NORTH,Est N from OM in lb,120,140.4
2024,Qtr 1,March,20,505 NORTH,Nitrate,30,53.18
2024,Qtr 1,March,20,505 NORTH,Organic Matter,7,5.0600000000000005
2024,Qtr 1,March,20,505 NORTH,ORP,80,45
2024,Qtr 1,March,20,505 NORTH,pH (1:1),6.2,13.29
2024,Qtr 1,March,20,505 NORTH,Soluble Salts,0.64,0.15
2024,Qtr 1,March,20,505 SOUTH,Active Carbon,1000,341.59000000000003
2024,Qtr 1,March,20,505 SOUTH,Ammonium,40,0.19
2024,Qtr 1,March,20,505 SOUTH,Bicarbonates,60,192.82999999999998
2024,Qtr 1,March,20,505 SOUTH,EC,0.7,1.02
2024,Qtr 1,March,20,505 SOUTH,Est N from OM in lb,120,152.4
2024,Qtr 1,March,20,505 SOUTH,Nitrate,30,38.980000000000004
2024,Qtr 1,March,20,505 SOUTH,Organic Matter,7,5.619999999999999
2024,Qtr 1,March,20,505 SOUTH,ORP,80,97
2024,Qtr 1,March,20,505 SOUTH,pH (1:1),6.2,12.32
2024,Qtr 1,March,20,505 SOUTH,Soluble Salts,0.64,0.65
2024,Qtr 1,March,20,BALBOA,Active Carbon,1000,634.6700000000001
2024,Qtr 1,March,20,BALBOA,Ammonium,40,0.08
2024,Qtr 1,March,20,BALBOA,Bicarbonates,60,468.92
2024,Qtr 1,March,20,BALBOA,EC,0.7,0.78
2024,Qtr 1,March,20,BALBOA,Est N from OM in lb,120,299.2
2024,Qtr 1,March,20,BALBOA,Nitrate,30,223.98000000000002
2024,Qtr 1,March,20,BALBOA,Organic Matter,7,10.96
2024,Qtr 1,March,20,BALBOA,ORP,80,-82
2024,Qtr 1,March,20,BALBOA,pH (1:1),6.2,29.85
2024,Qtr 1,March,20,BALBOA,Soluble Salts,0.64,0.5
2024,Qtr 1,March,20,BI,Active Carbon,1000,580.89
2024,Qtr 1,March,20,BI,Ammonium,40,2.63
2024,Qtr 1,March,20,BI,Bicarbonates,60,626.35
2024,Qtr 1,March,20,BI,EC,0.7,0.24
2024,Qtr 1,March,20,BI,Est N from OM in lb,120,304
2024,Qtr 1,March,20,BI,Nitrate,30,38.510000000000005
2024,Qtr 1,March,20,BI,Organic Matter,7,11.94
2024,Qtr 1,March,20,BI,ORP,80,102
2024,Qtr 1,March,20,BI,pH (1:1),6.2,26.84
2024,Qtr 1,March,20,BI,Soluble Salts,0.64,0.16
2024,Qtr 1,March,20,BRS-250,Active Carbon,1000,402.39
2024,Qtr 1,March,20,BRS-250,Ammonium,40,0.25
2024,Qtr 1,March,20,BRS-250,Bicarbonates,60,258.71999999999997
2024,Qtr 1,March,20,BRS-250,EC,0.7,0.28
2024,Qtr 1,March,20,BRS-250,Est N from OM in lb,120,79.6
2024,Qtr 1,March,20,BRS-250,Nitrate,30,37.36
2024,Qtr 1,March,20,BRS-250,Organic Matter,7,2.98
2024,Qtr 1,March,20,BRS-250,ORP,80,-1
2024,Qtr 1,March,20,BRS-250,pH (1:1),6.2,14.26
2024,Qtr 1,March,20,BRS-250,Soluble Salts,0.64,0.18000000000000002
2024,Qtr 1,March,20,BRU-1A,Active Carbon,1000,209.2
2024,Qtr 1,March,20,BRU-1A,Ammonium,40,1.84
2024,Qtr 1,March,20,BRU-1A,Bicarbonates,60,358.52
2024,Qtr 1,March,20,BRU-1A,EC,0.7,0.25
2024,Qtr 1,March,20,BRU-1A,Est N from OM in lb,120,108
2024,Qtr 1,March,20,BRU-1A,Nitrate,30,68.77
2024,Qtr 1,March,20,BRU-1A,Organic Matter,7,3.4
2024,Qtr 1,March,20,BRU-1A,ORP,80,97
2024,Qtr 1,March,20,BRU-1A,pH (1:1),6.2,12.629999999999999
2024,Qtr 1,March,20,BRU-1A,Soluble Salts,0.64,0.16
2024,Qtr 1,March,20,BYRD,Active Carbon,1000,323.44
2024,Qtr 1,March,20,BYRD,Ammonium,40,1.4100000000000001
2024,Qtr 1,March,20,BYRD,Bicarbonates,60,230.93
2024,Qtr 1,March,20,BYRD,EC,0.7,0.37
2024,Qtr 1,March,20,BYRD,Est N from OM in lb,120,170
2024,Qtr 1,March,20,BYRD,Nitrate,30,27.12
